iter	Passed	Remaining
787	9945	2675
788	9962	2664
789	9979	2652
790	9995	2640
791	10009	2628
792	10025	2617
793	10041	2605
794	10056	2593
795	10070	2580
796	10085	2568
797	10100	2556
798	10117	2545
799	10131	2532
800	10146	2520
801	10160	2508
802	10174	2496
803	10186	2483
804	10201	2471
805	10218	2459
806	10234	2447
807	10249	2435
808	10264	2423
809	10278	2410
810	10291	2398
811	10307	2386
812	10323	2374
813	10338	2362
814	10355	2350
815	10372	2338
816	10387	2326
817	10401	2314
818	10417	2302
819	10433	2290
820	10448	2278
821	10465	2266
822	10477	2253
823	10492	2241
824	10505	2228
825	10522	2216
826	10537	2204
827	10552	2192
828	10565	2179
829	10581	2167
830	10601	2156
831	10616	2143
832	10633	2131
833	10651	2120
834	10665	2107
835	10680	2095
836	10697	2083
837	10714	2071
838	10731	2059
839	10748	2047
840	10765	2035
841	10780	2023
842	10795	2010
843	10809	1997
844	10824	1985
845	10838	1973
846	10852	1960
847	10867	1947
848	10881	1935
849	10897	1923
850	10912	1910
851	10928	1898
852	10943	1885
853	10959	1873
854	10973	1860
855	10987	1848
856	11002	1835
857	11016	1823
858	11033	1811
859	11047	1798
860	11062	1785
861	11075	1773
862	11087	1760
863	11102	1747
864	11116	1735
865	11131	1722
866	11146	1709
867	11159	1697
868	11173	1684
869	11188	1671
870	11201	1659
871	11215	1646
872	11230	1633
873	11244	1621
874	11257	1608
875	11272	1595
876	11286	1582
877	11300	1570
878	11314	1557
879	11328	1544
880	11343	1532
881	11357	1519
882	11371	1506
883	11386	1494
884	11400	1481
885	11415	1468
886	11429	1456
887	11444	1443
888	11459	1430
889	11473	1418
890	11489	1405
891	11504	1392
892	11520	1380
893	11533	1367
894	11547	1354
895	11559	1341
896	11574	1329
897	11588	1316
898	11602	1303
899	11616	1290
900	11632	1278
901	11648	1265
902	11664	1252
903	11682	1240
904	11698	1228
905	11714	1215
906	11731	1202
907	11748	1190
908	11765	1177
909	11781	1165
910	11795	1152
911	11809	1139
912	11822	1126
913	11836	1113
914	11850	1100
915	11864	1087
916	11878	1075
917	11893	1062
918	11907	1049
919	11921	1036
920	11936	1023
921	11951	1011
922	11968	998
923	11984	985
924	12000	973
925	12016	960
926	12032	947
927	12048	934
928	12064	922
929	12079	909
930	12097	896
931	12113	883
932	12127	870
933	12142	858
934	12156	845
935	12172	832
936	12186	819
937	12201	806
938	12215	793
939	12229	780
940	12243	767
941	12257	754
942	12272	741
943	12286	728
944	12301	715
945	12315	702
946	12329	690
947	12343	677
948	12356	664
949	12371	651
950	12386	638
951	12399	625
952	12413	612
953	12426	599
954	12440	586
955	12455	573
956	12470	560
957	12483	547
958	12497	534
959	12512	521
960	12526	508
961	12541	495
962	12554	482
963	12569	469
964	12583	456
965	12598	443
966	12611	430
967	12625	417
968	12639	404
969	12652	391
970	12666	378
971	12681	365
972	12696	352
973	12712	339
974	12728	326
975	12743	313
976	12758	300
977	12774	287
978	12792	274
979	12808	261
980	12826	248
981	12842	235
982	12858	222
983	12874	209
984	12890	196
985	12905	183
986	12918	170
987	12931	157
988	12945	143
989	12960	130
990	12979	117
991	12994	104
992	13011	91
993	13025	78
994	13039	65
995	13053	52
996	13067	39
997	13083	26
998	13100	13
999	13116	0
